Actual_Values,Lower_5%,Upper_5%
8113.43,8147.73,8210.881000000001
7616.44,7468.99,7562.49
7434.95,7393.1275000000005,7440.617749999999
10666.59,10403.86,10502.22725
8537.59,8452.805,8537.1155
8969.03,8896.724,9015.5
8068.58,8023.7300000000005,8061.2235
8139.31,8094.31875,8158.71275
10791.27,10329.253499999999,10662.929
7085.77,7097.35,7106.701
7742.94,7468.91,7599.9355
8561.65,8496.380500000001,8619.7245
8364.53,8330.095,8370.098
10990.02,10757.8055,11011.022
7223.65,7092.447999999999,7127.688
7143.99,7076.089,7136.7
8560.49,8526.605,8704.39
8958.32,8891.93,8987.984999999999
6670.76,6647.1365,6665.516500000001
6122.02,6034.567,6084.55275
6703.69,6561.503,6609.6695
9025.94,8854.34,8974.49425
8888.54,8824.771,8951.6625
8340.86,8240.46075,8285.33
7675.95,7482.51,7564.8135
8699.61,8530.0215,8650.6605
7975.74,8050.78675,8243.8825
9265.93,9181.423999999999,9275.94
8916.62,8782.36,8855.96
9099.97,9005.521,9053.797
9902.22,9784.796,9937.84
8734.44,8643.898000000001,8746.48
7351.43,7137.055,7303.4605
6713.0,6545.276,6675.9445
8350.89,8202.88,8402.68
9233.2,9094.27775,9147.6985
9542.72,9491.68,9547.26
11795.35,11185.5,11350.2665
7534.98,7443.886750000001,7468.61
6832.37,6825.8085,6910.33175
11332.43,11050.0445,11294.61
7211.45,7186.621,7223.3695
7443.7,7247.0815,7408.39
7034.02,6938.17,7054.775
7678.94,7667.58,7726.982
7583.08,7399.42875,7423.0115
7598.4,7458.072,7515.585
10646.51,10559.0,10656.15925
7066.94,6962.957,7047.4415
9479.88,9250.08,9384.599
8874.7,8612.484,8815.16
8044.11,7878.59,8021.152999999999
6739.15,6684.66,6724.332
9256.37,9093.010999999999,9188.235999999999
7110.26,7305.6975,7441.8
7760.17,7810.07,7877.7065
7073.33,6745.6215,6876.035
7200.3,7075.6245,7149.115
8281.79,8101.249,8165.57575
8153.41,8099.2325,8136.2085
8497.34,8349.36925,8426.4735
6682.97,6535.032999999999,6614.196999999999
7275.0,7231.1305,7270.9397500000005
7099.42,7069.313999999999,7097.75
6410.89,6371.03575,6419.017250000001
8553.21,8509.243499999999,8560.69
6817.86,6685.641,6741.97
7162.93,7118.907,7157.44
7986.97,7958.1385,7981.934
8264.87,8214.5875,8266.72575
6793.1,6759.245,6776.83
8741.68,8679.73,8741.179
10627.03,10354.6095,10517.71
7859.52,7838.00225,7894.77
8512.77,8383.26325,8474.0995
8100.78,7846.55,7954.1495
6930.08,6844.85,6942.6765000000005
8797.93,8693.13575,8769.794249999999
6271.35,6143.27,6230.83
7894.93,7816.724749999999,7845.99
6285.22,6214.5055,6228.3
7747.17,7717.023249999999,7753.331999999999
6351.23,6127.75,6255.304
7284.66,7248.2744999999995,7290.08075
7468.39,7394.8585,7454.6055
7075.47,7135.0555,7225.47
9654.96,9514.529,9645.84
8338.29,8294.568,8410.48
7006.01,6955.33,7063.23
6903.0,6812.465999999999,6870.5325
7476.78,7402.18,7463.409500000001
9129.96,8834.85,9021.5425
8351.78,8094.495,8187.14975
6472.26,6419.055,6470.6
7846.19,7902.028,7987.51
7541.07,7356.536000000001,7521.83525
